"","zSensr","defl"
"212",-4.6261160235872e-08,-1.54984469702413e-10
"213",-4.62612170792909e-08,-2.16189732782368e-10
"214",-4.62612170792909e-08,-9.15316711314063e-11
"215",-4.62612170792909e-08,1.38329347976196e-11
"216",-4.62612739227097e-08,-5.00883778897787e-11
"217",-4.62612739227097e-08,-1.21220811166722e-10
"218",-4.62613307661286e-08,-5.86108939160113e-11
"219",-4.62613307661286e-08,-7.49071915606692e-11
"220",-4.62613876095475e-08,-2.43325359861046e-11
"221",-4.62613876095475e-08,1.14186882171907e-10
"222",-4.62613876095475e-08,1.26783916698514e-10
"223",-4.62613876095475e-08,1.2181988751081e-10
"224",-4.62614444529663e-08,4.57700544131967e-11
"225",-4.62614444529663e-08,-1.20986776153131e-10
"226",-4.62614444529663e-08,-2.8830582365913e-10
"227",-4.62614444529663e-08,-2.75381051295653e-10
"228",-4.62613876095475e-08,-8.03392907755551e-11
"229",-4.62613876095475e-08,1.14916964832901e-11
"230",-4.62613307661286e-08,-1.3514966923367e-11
"231",-4.62613307661286e-08,1.66426872283409e-11
"232",-4.62612739227097e-08,-2.33959518425308e-11
"233",-4.62612170792909e-08,-2.87931012366016e-10
"234",-4.6261160235872e-08,-3.5527092379084e-10
"235",-4.62610465490343e-08,-2.1375434755555e-10
"236",-4.62609897056154e-08,-1.66036073778741e-10
"237",-4.62608760187777e-08,-5.06967801072733e-11
"238",-4.626076233194e-08,9.27862231492327e-11
"239",-4.62605918016834e-08,1.26596511051957e-10
"240",-4.62604781148457e-08,-1.4030110406793e-11
"241",-4.62603075845891e-08,-1.2913492497546e-10
"242",-4.62601370543325e-08,-1.07593933762473e-10
"243",-4.62599665240759e-08,-1.17427845225393e-10
"244",-4.62597391504005e-08,-7.86535281349643e-11
"245",-4.6259511776725e-08,-5.80491210655509e-11
"246",-4.62592844030496e-08,-4.89173146434041e-11
"247",-4.62590570293742e-08,-7.57505169701744e-11
"248",-4.62588296556987e-08,-2.01016980838631e-10
"249",-4.62585454386044e-08,-3.02260882989458e-10
"250",-4.62582612215101e-08,-2.10757633567482e-10
"251",-4.62579201609969e-08,-4.89173146434041e-11
"252",-4.62576359439026e-08,2.59392507473422e-12
"253",-4.62572948833895e-08,-2.01176852954177e-11
"254",-4.62569538228763e-08,-1.60906843404973e-11
"255",-4.62566127623631e-08,9.91549065076924e-11
"256",-4.625627170185e-08,9.49404999062153e-11
"257",-4.6255873797918e-08,-3.1824765045485e-11
"258",-4.62554758939859e-08,-2.10101713804534e-10
"259",-4.62550779900539e-08,-2.91489943293755e-10
"260",-4.62546800861219e-08,-1.71842984286741e-10
"261",-4.62542821821899e-08,-1.46389567134975e-11
"262",-4.6253827434839e-08,4.28199697921627e-11
"263",-4.62534295309069e-08,-1.96496152682357e-11
"264",-4.62529747835561e-08,-1.023021667379e-10
"265",-4.62525200362052e-08,-9.05480135315884e-11
"266",-4.62520652888543e-08,3.30326876962772e-11
"267",-4.62515536980845e-08,3.85118603674073e-11
"268",-4.62510989507336e-08,-2.23185914194346e-11
"269",-4.62505873599639e-08,8.40083558273363e-12
"270",-4.6250132612613e-08,-1.98836502818267e-11
"271",-4.62496210218433e-08,-2.07526440476613e-10
"272",-4.62491094310735e-08,-3.8734881968594e-10
"273",-4.62485978403038e-08,-2.78378209372931e-10
"274",-4.6248086249534e-08,2.13256079462099e-11
"275",-4.62475746587643e-08,1.79372516839749e-10
"276",-4.62470630679945e-08,1.67478031443125e-10
"277",-4.62465514772248e-08,-2.33488783862867e-11
"278",-4.6246039886455e-08,-2.12724060588698e-10
"279",-4.62455282956853e-08,-2.20825580043993e-10
"280",-4.62450167049155e-08,-2.56509036233865e-10
"281",-4.62445051141458e-08,-1.60556901107611e-10
"282",-4.6243993523376e-08,1.3692602607307e-11
"283",-4.62434819326063e-08,1.01262109808431e-10
"284",-4.62429703418366e-08,7.88782372751484e-11
"285",-4.62424587510668e-08,-1.67721836419332e-10
"286",-4.62419471602971e-08,-2.08697059633778e-10
"287",-4.62414924129462e-08,-7.18167747493226e-11
"288",-4.62410376655953e-08,-1.67768909875576e-10
"289",-4.62405260748255e-08,-2.15299778005829e-10
"290",-4.62400713274747e-08,-1.93571381146285e-10
